80
Aarav 9.6 1 2 3
Isha 8.4 2 3 1
Kabir 7.8 4 5 6
Ananya 9.2 3 1 2
Rohan 8.7 5 6 4
Sanya 9.0 2 4 1
Dev 7.5 6 5 3
Meera 8.1 1 3 2
Arjun 9.3 4 2 5
Priya 8.6 3 5 6
Neha 7.9 2 6 4
Kiran 9.5 1 4 3
Reyansh 8.0 5 3 2
Diya 7.6 6 1 4
Mohan 8.8 2 5 3
Ira 9.1 3 6 1
Tanvi 7.7 4 2 6
Vikram 8.9 5 1 2
Simran 9.4 6 3 4
Nikhil 7.4 1 2 5
Aditi 8.3 3 4 6
Krish 9.2 2 5 1
Ritika 7.8 6 4 3
Sameer 8.7 1 3 5
Sneha 9.0 2 6 4
Aditya 7.9 5 2 3
Maya 8.5 3 1 6
Harsh 9.3 4 6 2
Pooja 8.1 1 5 3
Kunal 7.6 2 4 6
Avni 9.1 3 2 5
Rahul 8.4 6 1 4
Shreya 7.5 2 3 5
Yash 8.9 1 6 4
Anjali 9.5 5 3 2
Omkar 8.2 4 1 6
Trisha 7.7 3 2 5
Manish 9.0 6 4 1
Alisha 8.6 5 2 3
Ravi 7.8 1 3 4
Sakshi 9.4 2 6 5
Chetan 8.0 3 1 2
Bhavna 7.6 4 5 6
Arnav 9.2 6 2 3
Pallavi 8.7 5 1 4
Gaurav 7.9 2 3 6
Tanya 9.1 1 4 5
Raj 8.3 6 5 2
Khushi 7.5 4 1 3
Siddharth 8.8 2 6 1
Lavanya 9.0 3 2 4
Aman 7.7 1 5 6
Rashmi 8.9 6 3 2
Abhay 9.3 2 4 5
Mitali 8.2 5 1 3
Deepak 7.6 3 6 4
Gayatri 9.1 1 2 6
Varun 8.5 4 5 2
Pari 7.8 6 1 3
Suresh 9.2 2 3 4
Divya 8.6 5 6 1
Karthik 7.9 3 2 5
Sonal 9.4 4 1 6
Vivek 8.1 6 5 2
Navya 7.7 2 4 3
Hemant 8.9 1 3 6
Komal 9.0 5 2 4
Arvind 7.5 3 6 1
Jahnavi 8.7 2 1 5
Pranav 9.5 6 4 3
Seema 8.4 1 2 6
Farhan 7.6 3 5 4
Ishita 9.2 4 6 2
Madhav 8.8 5 1 3
Leena 7.9 2 3 6
Akhil 9.1 1 4 2
Rashi 8.0 6 2 5
Parth 7.7 3 1 4
Anushka 9.3 5 6 2
Jay 8.5 4 3 1
